City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kaitangata,-46.2817,169.8464,49.23,74,73,5.46,broken clouds
1,Mataura,-46.1927,168.8643,47.8,67,12,5.73,few clouds
2,Yumbel,-37.0833,-72.5667,70.03,29,100,6.69,overcast clouds
3,Ribeira Grande,38.5167,-28.7,72.0,88,75,23.02,broken clouds
4,Celestun,20.8667,-90.4,80.29,51,18,10.51,few clouds
5,Norman Wells,65.282,-126.8329,15.84,92,75,2.3,mist
6,Chumikan,54.7183,135.315,17.74,80,12,8.1,few clouds
7,Avarua,-21.2078,-159.775,71.65,73,100,10.36,overcast clouds
8,Ushuaia,-54.8,-68.3,49.66,53,0,14.97,clear sky
9,Copiapo,-27.3667,-70.3333,62.29,23,0,8.28,clear sky
10,Tuktoyaktuk,69.4541,-133.0374,19.4,93,75,6.91,broken clouds
11,Rocha,-34.4833,-54.3333,73.83,70,100,11.56,overcast clouds
12,Hobart,-42.8794,147.3294,51.26,70,40,5.99,scattered clouds
13,Busselton,-33.65,115.3333,47.05,90,55,7.4,broken clouds
14,Castro,-24.7911,-50.0119,72.75,68,65,7.18,broken clouds
15,Kahului,20.8947,-156.47,73.85,82,1,5.75,clear sky
16,Hereford,52.0568,-2.7148,52.25,63,31,9.22,scattered clouds
17,Rikitea,-23.1203,-134.9692,74.89,84,73,20.69,light rain
18,Brae,60.3964,-1.353,48.11,80,100,18.23,overcast clouds
19,Glendive,47.1053,-104.7125,47.7,79,90,14.97,overcast clouds
20,Bluff,-46.6,168.3333,52.88,64,19,18.88,few clouds
21,Talnakh,69.4865,88.3972,18.05,96,100,2.75,light snow
22,Saint-Philippe,-21.3585,55.7679,72.99,81,72,3.89,broken clouds
23,Dikson,73.5069,80.5464,8.56,91,100,17.4,overcast clouds
24,Cape Town,-33.9258,18.4232,68.11,63,0,4.0,clear sky
25,Sechura,-5.5569,-80.8222,77.25,55,40,11.88,scattered clouds
26,Liverpool,53.4106,-2.9779,52.14,76,20,1.01,few clouds
27,New Norfolk,-42.7826,147.0587,50.92,63,66,5.01,broken clouds
28,Ugoofaaru,5.6667,73.0,81.54,74,89,8.19,overcast clouds
29,Inongo,-1.95,18.2667,75.92,76,17,2.53,few clouds
30,San Patricio,28.017,-97.5169,78.78,18,0,4.99,clear sky
31,Bathsheba,13.2167,-59.5167,83.05,63,28,12.8,scattered clouds
32,Bengkulu,-3.8004,102.2655,76.95,91,100,4.61,heavy intensity rain
33,Deputatskiy,69.3,139.9,-8.97,99,89,5.79,overcast clouds
34,Punta Arenas,-53.15,-70.9167,51.12,40,31,8.34,scattered clouds
35,East London,-33.0153,27.9116,66.38,84,9,9.91,clear sky
36,Bredasdorp,-34.5322,20.0403,65.28,79,37,7.49,scattered clouds
37,Puerto Ayora,-0.7393,-90.3518,72.54,80,78,9.26,broken clouds
38,Ponta Do Sol,32.6667,-17.1,79.0,75,81,9.75,broken clouds
39,Sidi Ali,36.0998,0.4206,67.32,66,85,7.38,overcast clouds
40,Yellowknife,62.456,-114.3525,28.42,97,89,5.01,overcast clouds
41,Leningradskiy,69.3833,178.4167,-4.65,96,100,5.64,overcast clouds
42,Zhigalovo,54.8097,105.1578,28.85,71,97,2.75,overcast clouds
43,Praia,14.9215,-23.5087,81.14,78,40,16.11,scattered clouds
44,Tahta,26.7693,31.5021,86.31,24,100,7.43,overcast clouds
45,Nikolskoye,59.7035,30.7861,45.88,92,74,6.91,broken clouds
46,Albany,42.6001,-73.9662,57.31,92,99,8.66,overcast clouds
47,Cabo San Lucas,22.8909,-109.9124,83.61,66,27,1.99,scattered clouds
48,Tasiilaq,65.6145,-37.6368,26.76,64,18,6.78,few clouds
49,Chokurdakh,70.6333,147.9167,-5.58,98,99,6.17,overcast clouds
50,Cap Malheureux,-19.9842,57.6142,74.46,81,5,4.16,clear sky
51,Clyde River,70.4692,-68.5914,30.13,98,100,9.8,snow
52,Nocupetaro,19.05,-101.15,78.91,70,60,2.08,broken clouds
53,Fartura,-23.3883,-49.51,81.52,56,46,8.5,scattered clouds
54,Alpena,45.0617,-83.4327,55.72,70,75,3.0,broken clouds
55,Kapaa,22.0752,-159.319,74.32,81,13,1.63,few clouds
56,Kodiak,57.79,-152.4072,45.91,93,90,25.32,moderate rain
57,Hermanus,-34.4187,19.2345,67.8,79,56,11.61,broken clouds
58,Jamestown,42.097,-79.2353,51.94,96,100,5.01,overcast clouds
59,Arlit,18.7369,7.3853,92.61,10,20,10.85,few clouds
60,Ostrovnoy,68.0531,39.5131,31.91,84,97,10.22,overcast clouds
61,Eraniel,8.2,77.3,78.15,90,100,2.8,overcast clouds
62,Mount Isa,-20.7333,139.5,76.77,20,91,12.66,overcast clouds
63,Maceio,-9.6658,-35.7353,87.24,54,75,5.75,broken clouds
64,Avera,33.194,-82.5271,63.37,58,64,13.62,broken clouds
65,Makinsk,52.6292,70.4169,28.65,94,100,18.19,light snow
66,Pontianak,-0.0333,109.3333,78.78,94,90,1.14,light rain
67,Buraydah,26.326,43.975,79.66,22,0,9.4,clear sky
68,Vaini,-21.2,-175.2,75.0,74,9,13.67,clear sky
69,Kon Tum,14.35,108.0,67.44,97,23,2.64,few clouds
70,Arraial Do Cabo,-22.9661,-42.0278,75.06,73,75,11.5,broken clouds
71,Hilo,19.7297,-155.09,80.28,79,2,1.9,clear sky
72,Cayenne,4.9333,-52.3333,89.64,76,20,4.0,few clouds
73,Saint George,37.1041,-113.5841,72.54,54,1,0.0,clear sky
74,Ilhabela,-23.7781,-45.3581,70.47,92,99,10.69,overcast clouds
75,Padang,-0.9492,100.3543,75.25,89,100,2.73,overcast clouds
76,Petropavlovsk-Kamchatskiy,53.0452,158.6483,31.44,77,34,11.86,scattered clouds
77,Cidreira,-30.1811,-50.2056,71.65,77,68,21.85,broken clouds
78,Thompson,55.7435,-97.8558,32.16,93,75,8.05,broken clouds
79,Atuona,-9.8,-139.0333,77.43,69,16,17.05,few clouds
80,Port Alfred,-33.5906,26.891,65.19,87,6,12.62,clear sky
81,Chuy,-33.6971,-53.4616,72.32,72,99,13.04,overcast clouds
82,Souillac,-20.5167,57.5167,74.35,75,11,4.74,few clouds
83,Torbay,47.6666,-52.7314,53.89,53,1,10.0,clear sky
84,Fairbanks,64.8378,-147.7164,27.1,90,100,5.73,overcast clouds
85,Xudat,41.631,48.681,53.29,81,89,5.44,overcast clouds
86,Dumai,1.6833,101.45,75.54,95,90,1.54,light rain
87,Hithadhoo,-0.6,73.0833,82.76,76,57,15.75,broken clouds
88,Upernavik,72.7868,-56.1549,25.63,56,100,7.25,overcast clouds
89,Marzuq,14.4,46.4667,76.19,52,99,7.31,overcast clouds
90,Virginia Beach,36.8529,-75.978,68.09,60,18,4.0,few clouds
91,Exu,-7.5119,-39.7242,93.36,24,0,7.74,clear sky
92,Presidencia Roque Saenz Pena,-26.7852,-60.4388,95.0,32,73,7.43,broken clouds
93,Kiunga,-6.1219,141.2906,72.7,99,79,1.23,broken clouds
94,Viedma,-40.8135,-62.9967,60.28,42,80,27.36,broken clouds
95,Kirovskiy,45.0917,133.5136,40.59,91,94,3.02,overcast clouds
